"","x"
"1",0
"2",95
"3",74
"4",82
"5",297
"6",345
"7",441
"8",498
"9",456
"10",557
"11",639
"12",577
"13",547
"14",495
"15",570
"16",642
"17",510
"18",407
"19",442
"20",480
"21",439
"22",464
"23",351
"24",150
"25",144
"26",90
"27",113
"28",84
"29",603
"30",605
"31",603
"32",632
"33",622
"34",516
"35",543
"36",539
"37",543
"38",532
"39",532
"40",523
"41",540
"42",576
"43",561
"44",476
"45",530
"46",520
"47",506
"48",511
"49",427
"50",228
"51",131
"52",518
"53",513
"54",440
"55",257
"56",313
"57",495
"58",500
"59",535
"60",362
"61",302
"62",380
"63",433
"64",294
"65",262
"66",228
"67",466
"68",648
"69",624
"70",528
"71",350
"72",739
"73",531
"74",85
"75",212
"76",279
"77",694
"78",760
"79",690
"80",694
"81",650
"82",726
"83",622
"84",722
"85",657
"86",761
"87",620
"88",571
"89",507
"90",529
"91",641
"92",652
"93",711
"94",634
"95",756
"96",652
"97",682
"98",556
"99",468
"100",483
"101",535
"102",608
"103",647
"104",748
"105",765
"106",701
"107",716
"108",647
"109",751
"110",585
"111",508
"112",620
"113",529
"114",514
"115",611
"116",601
"117",651
"118",657
"119",672
"120",651
"121",631
"122",537
"123",500
"124",398
"125",483
"126",460
"127",307
"128",573
"129",308
"130",290
"131",377
"132",532
"133",471
"134",493
"135",493
"136",490
"137",435
"138",498
"139",477
"140",364
"141",374
"142",405
"143",252
"144",323
"145",309
"146",227
"147",258
"148",145
"149",488
"150",241
"151",184
"152",355
"153",357
"154",694
"155",657
"156",741
"157",577
"158",398
"159",575
"160",731
"161",635
"162",567
"163",621
"164",645
"165",657
